Timestamp,Subject ID,Snellen chart ,Ishihara's tests,Order,Wiek,Wykszta?cenie,"Jak najcz??ciej ogl?da Pani/Pan tre?ci wideo (programy, filmy, teledyski itd.)",Czy posiada Pani/Pan telewizor w domu w którym Pani/Pan mieszka?,P?e?,"Jak czesto oglada Pan/Pani filmy, programy itd.",Timestamp,Subject ID,Co podoba?o si? Pani/Panu w tej sesji,Co NIE podoba?o si? Pani/Panu w tej sesji,Co podoba?o si? Pani/Panu w tej sesji,Co NIE podoba?o si? Pani/Panu w tej sesji,Co podoba?o si? Pani/Panu w tej sesji,Co NIE podoba?o si? Pani/Panu w tej sesji,Co podoba?o si? Pani/Panu w tej sesji,Co NIE podoba?o si? Pani/Panu w tej sesji,Co podoba?o si? Pani/Panu w tej sesji,Co NIE podoba?o si? Pani/Panu w tej sesji,Co podoba?o si? Pani/Panu w tej sesji,Co NIE podoba?o si? Pani/Panu w tej sesji,Czy instrukacja i sesja treningowa wyja?nia jak b?dzie przeprowadzany eksperyment? Czy brakowa?o Pani/Panu jakiej? informacji? Je?eli tak to jaka to informacja? ,W jaki sposób podejmowa?a Pani/Pan decyzj? o jako?ci sekwencji?  ,Cz??? filmów powtarza?o si? wielokrotnie. Jak to wp?ywa?o na sposób oceny jako?ci przez Pani?/Pana?,Niektóre filmy pojawia?y si? tylko raz. Jak to wp?ywa?o na sposób oceny jako?ci przez Pani?/Pana?,Je?eli Pani/Pan zobaczy? now? tre??/film jak zainteresowanie samym filmem wp?ywa?o na sposób oceny lub sam? ocen? jako??i?,Czy eksperyment by?:,Kiedy ?atwo by?o si? Pani/Panu skupi? na zadaniu?,Kiedy trudno by?o si? Pani/Panu skupi? na zadaniu?,"Czy stara?a si? Pani/Pan poda? t? sam? ocen? tylko dlatego, ?e film by?a podobna do poprzednio ocenionego? ",Czy uczestniczy?a Pani/Pan w eksperymencie subiektywnym? ,Na czym polega? ten eksperyment/eksperymenty? ,Prosz? porówna? dzisiejszy i poprzednie eksperymenty. Jakie cechy bardziej podoba?y si? w ka?dym z eksperymentów. 
2/2/2016 10:10:54,1/0/1900 0:00:00,"L,Y,Z,L,P,D","12,8,5,29,74,7,45,2,-,","0	1_SRC	2_RSRC	3_CD	4_RSRC	5_CD	6_CD",2/14/1900 0:00:00,Wy?sze,"Na telewizorze, czasami na laptopie.",Tak,K,1/1/1900 0:00:00,2/2/2016 10:10:14,0,Wiewiórka w próbnej sesji. Nic szczególnego.,Nie wyrobi?am sobie jeszcze zdania. Jedne filmy bardziej w pami?ci a inne mniej. Ci??ko oceni? to ze ?niegiem.,Ciekawsze bo nie ca?y czas to samo. Powtarza si? historia ale ró?ne filmiki. Nie usn?. ,Brak,"Ciekawa, coraz ciekawsza, nie ma historii ale nie ma znudzenia. By?a wiewiórka. Przyjemnie si? ogl?da. Wcze?niej by?y nudne i denerwuj?ce.",Nic.,O teraz si? b?d? powtarza?. ,"My?li uciek?y, mo?e dlatego, ?e to co wcze?niej. ",Przyjemniej si? ogl?da. Przyrod? ogl?da si? przyjemnie. Wzrok mi si? nie m?czy jak patrz? na zielone.,Brak.,Lepsze ni? nasza telewizja. ,Nic.,Ok,Ostro?? obrazu. To najbardziej. Kontrast dobry.,"Nie wp?ywa?y. Nie powtarza?y si? przez 6 sesji. Ale ciekawiej jest jak s? inne. (Sugestia: czy ?atwiej oceni?, troszk? ?atwiej oceni? bo ma cz?owiek porównanie na szczególe. Przy nast?pnych nie by?o problemu z ocenianiem).",Nie.,Jak co? mi si? podoba?o to pewnie wp?ywa. Wiewiórka nawet mniej ostra lepsza ni? gracze ragby. Czasem si? rozmarzy?am i odp?ywa si? my?lami i wtedy automatycznie szybciej ocenia si? tre??.,4,Jak nie za bardzo interesuj?ce to ?atwiej skupi? si? na jako?ci.,Jak za ?adne to skupia si? cz?owiek na tre?ci nie na jako?ci. Nocne i ze ?niegiem ci??ko oceni?. Dopiero po zobaczeniu bardzo ostrego da si? oceni? inne.,"Jako? tak, ale chyba nie bardzo. Np. ze ?niegiem wydawa?o si? ok, ale potem widz?c taki bardzo dobry to stwierdza, ?e tamte by?y za wysoko. ",Tak,Nie pami?ta Pani kiedy to by?o i dok?adnie o co chodzi. Ocenianie filmików. ,Tamte by?y nudne i by?a Pani zm?czona tu mog?a by jeszcze ogl?da?.
2/2/2016 11:56:40,1/1/1900 0:00:00,"L,Y,Z,L,P,D","12,8,5,29,74,7,45,2,-,","1	1_SRC	3_CD	2_RSRC	4_RSRC	6_CD	5_CD",2/9/1900 0:00:00,Wy?sze,"Bardzo cz?sto na laptopie, Czasem z laptopa na telewizor, na laptopie wole mniejsze okienko lepsze ni? na ca?y ekran z pikselami. Ostatnio Pani zauwa?y?a, ?e reklamy s? w gorszej jako?ci i bardzo to Pani przeszkadza. Telewizja online. Zdarza si? youtube (zasugerowane)",Mam Pani telewizor.,K,1/2/1900 0:00:00,2/2/2016 11:45:17,1,"Czasami nawet dobry, jak co? przeostrzone to niedobrze. ","Za du?o czerwonego koloru, bardzo widoczne piksele, zw?aszcza przy ?niegu, ",Super film z wiewiórk?. Milszy do ogl?dania. W pierwszej sesji chyba mniej filmów z ró?n? jako?ci?. mniej ?redniaków w tej sesji.,Nie ma ró?nicy.,Filmy z podwody bardzo si? podoba?y. ,,Jak obraz jest jednostajnie nieostry ok. Mo?na si? do tego przyzwyczai?.,"Jak wada si? pojawia i znika to gorzej, du?o bardziej uci??liwe.",Da si? zrobi? dobry obraz. Skala si? wyostrza w miar? ogl?dania. ,Brak.,"Niektóre mo?na ogl?da?, niektóre ca?kiem przyjemnie.",,ok,"Ostro??, p?ynno?? obrazu, balans kolorów zbli?ony do naturalnego, im bardziej naturalny to lepiej. Niektóre filmy wygl?da?y lepiej ni? na ?ywo. Ka?da sesja to coraz bardziej czekanie na filmy bardzo dobre i skala robi si? ostrzejsza!!!! Dla pierwszej sesji oceny najbardziej pob?a?liwe. ","Tak, zdarza si? oceni? film bardzo dobry, i pojawia si? lepsza wersja ale ju? nie ma skali. Jak ju? wiadomo, ?e mo?e by? lepsza jako?? to inaczej. Powtarzanie si? filmów to w pierwszej chwili efekt wow a potem mo?na zobaczy? braki.",Nie ma wp?ywu. Nie ca?kiem jasne pytanie.,"Mo?e mie? wp?yw, przy powtarzaj?cych si? sesjach i obrazie to znika. Filmik z helikopterem i zachodem s?o?ca to najpierw ?adny a potem no jest i oceniamy.",5,W ?rodku eksperymentu.,Ostatnia sesja. Pierwsza te?.,Tak,Nie,,
2/2/2016 14:05:57,1/2/1900 0:00:00,"L,Y,Z,L,P,D","12,3,2,20,21,-,-,2","2	2_RSRC	1_SRC	3_CD	5_CD	4_RSRC	6_CD",2/3/1900 0:00:00,?rednie,"Na komputerze, onet, ?ci?gane pliki, czasami na telewizorze.",Tak,M,1/2/1900 12:00:00,2/2/2016 14:05:26,2,Nie. Jest ró?na jako??.,Nie.,Brak,Brak,Brak.,Brak. ,Brak,Brak,Brak,Brak,Brak,Brak,ok,"Rozdzielczo?? obrazu i nasycenie kolorów, wyrazisto?? pierwszego i drugiego planu.",Pomaga?o przy ocenie mo?na by?o porówna? i mi?dzy z?? i ?redni? dobrze to porówna?. ,Utrudnia ocen?. By?o kilka obrazów które si? czasem tylko pojawia?y.,"W ogóle nie wp?ywa. Patrz? na nasycenie kolorów, dynamik? ruchu pierwszy drugi plan, tre?? pomijam.",4,"Na pocz?tku, im d?u?ej si? patrzy mniej si? widzi.",Trudno na ko?cu. Jak by siedzie? 6h to by?o by ca?kiem inaczej.,,Tak,"Malarz budowlany, czyli chodzi?o o ocen? pow?oki malarskiej, i by? to test skupiony na jako?ci farby i cenie farby. ",Nie da si? porówna?.
2/2/2016 15:40:53,1/3/1900 0:00:00,"L,Y,Z,L,P,D","12,8,5,29,74,7,45,2,-","3	2_RSRC	3_CD	1_SRC	5_CD	6_CD	4_RSRC",2/3/1900 0:00:00,Wy?sze,"Na telewizorze, laptop youtube, ?ci?gane",Tak,K,1/2/1900 0:00:00,2/2/2016 15:38:36,3,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,brak,tak,Ogólne wra?enie w odbiorze.,Wida? ró?nic? pomi?dzy poszczególnymi filmikami.,Mog?o mie? jaki? wp?yw. Nie wiadomo na 100%,Nowy filmik bardziej by?am pewna oceny. Te?? raczej nie.,3,Dla wyra?niejszych filmów. Ale Pani jest niezdecydowana.,Jak jako?? by?a du?o gorsza.,,Nie,,
2/3/2016 10:18:17,1/4/1900 0:00:00,"L,Y,Z,L,P,O","12,8,5,29,71,7,15,2,-","4	3_CD	1_SRC	2_RSRC	6_CD	4_RSRC	5_CD",1/31/1900 0:00:00,?rednie,"Na komputerze, filmy ?ci?gane, na youtube wole wybra? lepsz? jako?? jak tylko internet dzia?a dobrze. Przedewszystkim ostro?? ma znaczenie. ",Nie,K,1/1/1900 12:00:00,2/3/2016 10:10:24,4,brak,brak,Naj?atwiej oceni? jako?? filmów ze ?niegiem. Kolor nie decyduje bo go nie ma. Jak ?nieg to jako?? jasna - s?aba lub ?rednia.,Pocz?tek irytuj?cy ze wzgl?du na powtarzaj?ce si? filmiki. Im d?u?ej ogl?dam te filmiki coraz wi?cej mia?am w?tpliwo?ci czy zaznaczenia s? poprawne. Intensywno?? kolorów by?o inne i dlatego wp?ywa?o to na zmian? postrzegania jako?ci. Szczególnie filmik z zabawkami. Jako?? ta sama ale inne kolory co daje inn? jako??.,"Najbardziej podoba? mi si? p?etwonurek. Wrak z p?etwonurkiem bardzo mi si? podoba? cho? zaznaczy?am, ?e jest dobra bo kolor wydawa? si? nie mi?y i zmienia? postrzeganie. Coraz cz??ciej mam odruch porównywania. Je?eli dla pierwszej cz??ci ocenia?am jako?? czyst? to teraz porównuje z poprzednimi. ",brak,"Cz??ciej zaznacza?am odpowied?, ?e jest z?a jako??. To wynika troch? ze zm?czenia. Teraz to co wcze?niej by?o ?rednie teraz jest z?e.",brak,Brak. Zdecydowanie statyczne obrazki przyjemniejsze do ogl?dania. By?o wi?cej krótkich uj?? i to m?cz?ce.,"Do?? m?cz?ce. Szczególnie powtarzaj?cy si? filmik z muzykami. Zacz??o m?czy? dynamika tych scen nie ostro??. Jak filmowani z daleka to ok, ale zbli?enia to ci??ko. ","Do?? nu??ce. Bo ca?y czas te same filmiki si? powtarzaj?. Zdarza si? w paru przyk?adach, ?e sekwencja mi si? podoba bo jest ma?o dynamiczny, ale to tylko pierwszy impuls. Wiewiórka najpierw jako?? by?a dobra a teraz s?aba ""biedna wiewiórka tak ?le wygl?da""",,tak,"Pierwsze tylko jako??, ostro?? obrazu, nie przejaskrawione kolory, w niektórych sekwencjach ?wiat?o by?o dziwne. A potem by? pierwszy odruch coraz cz??ciej (dla koncertu szczególnie) pierwszy impuls to nie ocenia? jako?? tylko sam? dynamik? scen. Stara?a si? Pani ocenia? jako??.","nie specjalnie. Przez chwil? tylko dwa SRC si? powtarza?y. Po pewnym czasie zaczyna Pani analizowa? czy jako?? jest inna. Wygl?da na to, ?e Pani ocenia SRC = jako??. Pó?niej widz?c powtórzenia zaczyna Pani ocenia? nie per SRC. Te zabawki m?cz?ce. M?cz?ce potarzanie si? sekwencji w kontek?cie CD(sic!)","Nie zarejestrowa?a Pani, ?e niektóre powtarza?y si? tylko sporadycznie. Wiewiórka najrzadziej. ",Raczej nie wp?ywa?o.,3,Na pocz?tku (Pani zaczyna od CD) oraz w tej pó?niejszej cz??ci gdzie sekwencje by?y statyczne. ,"Pod koniec, zw?aszcza dla dynamicznych sekwencji.",,Nie,,
2/3/2016 12:11:18,1/5/1900 0:00:00,"L,Y,Z,L,P,O","12,8,5,29,74,7,45,2,-","5	3_CD	2_RSRC	1_SRC	6_CD	5_CD	4_RSRC",2/17/1900 0:00:00,Wy?sze,Na telewizorze 37 cali p?aski ledowy. Czasem w wakacje na laptopie.,Tak,M,1/2/1900 0:00:00,2/3/2016 12:01:35,5,"brak, filmy ogólnie lepszej jako?ci ni? poprzednio. Niektóre filmy z poprzednich bada?.",,Brak,,brak,,brak,,brak,,Czasem ci??ko oceni? techniczn? jako?? bo to co na obrazku sk?ania do pozytywniejszych bod?ców zw?aszcza w porównaniu z g??bi? oceanu czy padaj?cym ?niegiem. ,,tak,"Ostro?? obrazu, czy jest rozmyty czy elementy wyodr?bniaj? si?. Na niektórych by?y ma?e rozmycia dla innych mamy ewidentne piksele, program sobie nie radzi? z przesy?aniem.",Nie bo skupiam si? na jednym filmie bez tre?ci. ,Nie. Cz?sto?? nie ma znaczenia. Je?eli s? filmy blisko siebie to ?atwiej zauwa?y? ró?nice. Tancerki s? ostre nawet w ruchu a na innym nie ma takiego efektu. Korzystamy z tego co pami?tamy.,"Jaskrawo?? tre?ci, wyrazisto?? mo?e dawa? lepsz? ocen? od szarych scen np. nurek z motocyklem.",5,"Ca?y czas utrzymana koncentracja. Dobrze, ?e sesje s? krótkie. ",Nie.,,Tak,Te? ocena jako?ci. Raz 3D raz 2D.,Atrakcyjno?? jednakowa. Te 3D by?o wi?cej filmów o bardzo niskiej jako?ci. Tutaj generalnie jako?? znacznie lepsza. Nie by?o filmów ewidentnie z?ych. 
2/3/2016 13:59:09,1/6/1900 0:00:00,"L,Y,Z,L,P,O","12,8,5,29,21,7,45,2,-","6	1_SRC	2_RSRC	3_CD	4_RSRC	6_CD	5_CD",1/18/1900 0:00:00,Studiuj?,"Na komputerze, w telewizji coraz cz??ciej bo mam ten kabel. Na telefonie strasznie si? zacina, wi?c rzadko. ",Tak,K,1/3/1900 12:00:00,2/3/2016 13:47:54,6,"Ci?gle leci to samo, to jest denerwuj?ce. Najpierw zobaczy?o si? z?? jako??, potem jeszcze gorsz? i nie da si? da? opinii jeszcze gorsza. Niektóre elementy ostre a inne nie ostre i nie wiadomo jak? da? ocen?. ",,"Na pocz?tku by? pierwszy filmik mia? i dobr? i z?? jako?? -> dosta? ocen? z?a bo nie mo?e tak by? w filmie ... 
W którym? filmiku by?o na ?rodku ok a na boku gorzej.",,By?y filmiki o ró?nej jako?ci. Wyszed? cz?owiek i piksele i z?a. Ci??ko zdecydowa? czy ?rednia czy dobra.,,By?a dobra i nagle ?rednia. By?o uj?cie w ruchu i trudno by?o oceni?. S? filmiki strasznie z?y i troch? z?y i ale nie tyle ?eby by? s?aby.,,"No to uwagi no to, poci?g wyra?ny a ludzie nie i nie wiadomo jak oceni?. Ca?y czas opowie?? o ró?nych ocenach.",,Ca?y czas problemy ze zmian? jako?ci.,,tak,Jak si? zmienia?a z gorszej na lepsz? to dobra lub ?rednia. Jak na odwrotnie to s?abiej. Jak s? piksele i nie da?o si? ogl?da? to z?a. ?rednia to zwyk?a jako??. ,Zastanawia?am si? czy leci ten sam i daj? ocen? gorsz? lub lepsz?. Raczej nie wp?ywa?o. Mo?e dopiero zauwa?y?am po czasie.,"hmm lepiej by?o oceni?. Nie dopatrywa?o si? jaki?, nagle co? gorzej wygl?da. Jak ci?gle inne to nie mog?am zauwa?y?.","W ogóle nie wp?ywa?o bo patrzy?am tylko na jako??. Nie by?o g?osu, wi?c nie by?o co s?ucha?.",3,Ca?y czas stara?am si? skupi?. ,Ew. pod koniec bo ci?gle miga?o. ,,Nie,,
2/3/2016 15:56:41,1/7/1900 0:00:00,"L,Y,Z,L,P,D","12,8,5,29,74,7,45,2,-","7	1_SRC	3_CD	2_RSRC	5_CD	4_RSRC	6_CD",1/18/1900 0:00:00,Studiuj?,Na laptopie najcz??ciej. Czasami w telewizji czy w kinie. Super rzadko na telefonie.,Tak,K,1/0/1900 12:00:00,2/3/2016 15:55:53,7,Takie same filmiki w podobnych jako?ciach. Bardzo podobne.,,Bardzo wyra?ne kolory w filmikach to dobrze. ,,Wi?kszo?? filmików ocenia?am pozytywnie. ,,brak,,brak,,brak,,tak,Rozpikselowane czy obraz wyra?ny. Jako?? kolorów.,"Najbardziej wida? ró?nice w jako?ci. Ocena zainteresowania eksperymentem jest 3 g?ównie dlatego, ?e filmiki si? powtarza?y.",Nie wydaje mi si?.,Stara?am si? nie kierowa? zgodnie z instrukcj?.,3,Jak by? dobry jako?ciowo i dobre kolory.,Jak strasznie spikselowany. ,,Nie,,
2/4/2016 11:53:04,1/8/1900 0:00:00,"U,Y,F(5.0),L,P,D(3.3)","12,8,5,29,74,7,45,2,-","8	2_RSRC	1_SRC	3_CD	5_CD	6_CD	4_RSRC",1/27/1900 0:00:00,Wy?sze,"Na komputerze (co wydaje si? Pani oczywiste). Bardzo rzadko na telewizorze. Na komórce rzadziej. Raczej filmy online, youtube, vod, ",nie,K,1/1/1900 12:00:00,2/4/2016 11:47:13,8,Ci??ko oceni? te filmy,,Po tej sesji ?atwiej.,,Brak.,,"Po ka?dym takie same, wi?c po ca?o?ci b?d?. Na pewno coraz ?atwiej bo wie si? ju? jak wygl?daj? te obrazki w innej jako?ci (po sesji drugiej sesji CD).",,Brak.,,"Dla niektórych filmów wystarczy skala trzystopniowa (dobra, ?rednia, z?a) Ma?a ró?nica w jako?ci. Niektóre filmiki ?atwiej oceni?, bardziej statyczne obrazy. Najwi?ksza trudno?? to filmiki gdzie du?o si? dzia?o. Du?o ruchu du?o ludzi. ",,tak,"Wyra?no?? obrazu, regularno?? kszta?tów, p?ynny obraz, p?ynne przej?cie akcji.",Pani nie ca?kiem zdecydowana. Chyba jednak utrudnia?o bo wpada?o si? w monotoni? oceny. ,"To nie wp?ywa na ocen?, jak si? ju? ma wzór swojej oceny.","Czasem trudno oddzieli? tre?? od jako?ci. Wydaje si?, ?e niektóre tre?ci s? lepiej oceniane. Przyroda barwne kolory -> od razu lepsza ocena. Mog?a by? wy?ej ocenione jak co? nowego. ",4,Na pocz?tku ka?dej sesji.,Pod koniec sesji. I pod koniec eksperymentu.,,Nie,,
2/4/2016 14:11:13,1/9/1900 0:00:00,"Prawe (16,5), lewe (L,Y,Z)","12,8,5,29,71,7,45,2,-","9	2_RSRC	3_CD	1_SRC	6_CD	4_RSRC	5_CD",1/20/1900 0:00:00,Studiuj?,"Na laptopie, bardzo rzadko na telefonie",nie,K,1/0/1900 0:14:24,2/4/2016 13:39:03,9,Podoba mi si?. ,,Brak,,brak,,brak,,brak,,bark,,tak,Bra?am pod uwag? g?ównie piksele. ,Przyk?ada?am wi?ksz? wag? do jako?ci w porównaniu z przypadkiem gdzie by?o wi?cej filmów.,Mniejsza waga do jako?ci bo mi?? raz i zapomnia?am o nim.,Mniejsza uwaga na jako?? a bardziej na tre??.,4,Jak film by? dobrej jako?ci.,Kiedy rotacja by?a niewielka. 4 filmy w kó?ko - to si? staje nudne.,,Nie,,
