Files down; Subject right,0,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,120,121,122,201,202,205,206,207,208,211,212,214,216,217,218,219,223,224,227,228,229
AGH-NTIA-Dolby_AspenWalk_MPEG2at2M.avi,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1
AGH-NTIA-Dolby_AspenWalk_MPEG2at4M.avi,5,3.5,3.5,3,3.5,2,4.5,3,4,2,3,3.5,3,3,3.5,4.5,3,2.5,3,3,2.5,2.5,1,3,2.5,3,3,4,3,2.5,3,3.5,3.5,2,3,3,3.5,3,3,3.5,4,3,3,2,2,4,3,3,3,4,3,3.5,3.5,2,3,3.5,2.5,3.5,3.5,3.5,2,2.5,4,2,3,3.5,2.5,4,3,3,3.5
AGH-NTIA-Dolby_BoulderZoom_H264at512K.avi,1,2,3,2,2,1,2,2,3,2,2,3,2,1,3,3,2,1,2,2,2,2,2,2,2,1,1,4,2,3,2,2,1,1,2,1,3,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2,2,3,3,3,2,2,1,3,2,3,1,2,3,2,3,3,2,2
AGH-NTIA-Dolby_BoulderZoom_MPEG2at2M.avi,1,2,1,1,2,1,1,2,2,1,2,1,2,1,1,2,2,1,2,1,1,1,1,3,1,3,1,3,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,3,2,1,2,2,1,2,1,2,1,2,1,1,2,1,1,2,2,1,1,2,2,1
AGH-NTIA-Dolby_BoulderZoom_original.avi,4,5,4,4,5,5,5,5,5,5,5,4,4,4,5,5,5,4,4,5,4,5,3,5,5,5,5,4,5,4,4,4,4,4,5,3,5,5,5,4,4,4,3,4,4,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,5
AGH-NTIA-Dolby_Boxing01_H264at512K.avi,2,2,2,1,2,1,3,2,2,2,2,1,2,1,2,3,2,1,1,1,2,2,1,2,2,1,1,3,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,1,2,3,2,2,2,1,2,2,2,2,2,3,1,1,1,1,3,3,1,1,2,3,2,2,1,2
AGH-NTIA-Dolby_Boxing01_original.avi,5,4,5,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,3,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,3,4
AGH-NTIA-Dolby_Boxing02_H264at1M.avi,4,4,3,5,4,3,4,4,5,4,4,4,4,3,4,5,3,3,4,3,4,4,4,5,4,3,4,4,4,5,4,4,4,3,4,4,3,4,4,4,4,3,4,4,3,5,4,3,4,5,3,4,4,4,5,4,4,4,4,4,5,3,4,3,4,4,4,5,4,4,4
AGH-NTIA-Dolby_Boxing02_MPEG2at7M.avi,5,5,3,4,4,3,5,5,4,5,5,5,4,4,5,5,3,5,5,4,3,4,2,4,4,5,4,5,4,3,4,3,4,3,4,3,4,4,5,3,4,4,4,5,4,4,5,3,4,5,5,5,5,4,5,5,4,5,5,3,5,4,4,3,5,4,4,5,5,3,3
