Video Name,BR,PSNR,SSIM,VMAF,STRRED,SpeedQA,MosRaw Scores,Mos_After Outlier Detection
CSGO_30fps_30sec_Part2_1280x720_1200_x264.yuv,1200,30.5914,0.96864,49.808517,110.476881,269.1072167,2.88,2.88
CSGO_30fps_30sec_Part2_1280x720_2000_x264.yuv,2000,31.818674,0.977297,61.179186,47.29170662,108.5069953,3.56,3.56
CSGO_30fps_30sec_Part2_1280x720_4000_x264.yuv,4000,33.095715,0.984038,73.516286,14.68446846,32.2045309,4.08,4.08
CSGO_30fps_30sec_Part2_1280x720_500_x264.yuv,500,27.936934,0.939457,30.604099,381.7653974,1102.080663,1.44,1.44
CSGO_30fps_30sec_Part2_1280x720_600_x264.yuv,600,28.674994,0.949228,35.093831,288.894467,795.7470245,1.76,1.76
CSGO_30fps_30sec_Part2_1920x1080_1200_x264.yuv,1200,30.452883,0.961543,52.143573,178.6563113,448.8225089,1.96,1.78
CSGO_30fps_30sec_Part2_1920x1080_2000_x264.yuv,2000,32.380272,0.974746,64.222516,93.68094418,209.0864648,2.8,2.71
CSGO_30fps_30sec_Part2_1920x1080_4000_x264.yuv,4000,35.24596,0.98645,81.254515,28.83351803,63.01425907,4.04,4.13
CSGO_30fps_30sec_Part2_1920x1080_600_x264.yuv,600,27.140772,0.919044,35.439289,498.1593748,1674.297642,1.32,1
CSGO_30fps_30sec_Part2_1920x1080_750_x264.yuv,750,27.725582,0.929814,37.50907,412.6882796,1293.840438,1.32,1
CSGO_30fps_30sec_Part2_640x480_1200_x264.yuv,1200,29.486818,0.965311,43.989736,53.3281249,128.2875851,2.6,2.6
CSGO_30fps_30sec_Part2_640x480_2000_x264.yuv,2000,29.983345,0.969952,51.604916,23.31093707,53.65697265,3.28,3.28
CSGO_30fps_30sec_Part2_640x480_300_x264.yuv,300,27.252169,0.936921,21.516259,411.5084393,1257.449138,1.8,1.8
CSGO_30fps_30sec_Part2_640x480_4000_x264.yuv,4000,30.433573,0.973641,59.281435,7.860421616,17.50216865,3.24,3
CSGO_30fps_30sec_Part2_640x480_600_x264.yuv,600,28.555235,0.9551,32.540117,155.1365515,415.0573686,2.08,2
FIFA17_30fps_30sec_Part2_1280x720_1200_x264.yuv,1200,31.059208,0.942831,56.505419,35.33146264,109.2857806,3.16,3.16
