Video Name,BR,PSNR,SSIM,VMAF,STRRED,SpeedQA,MosRaw Scores,Mos_After Outlier Detection
LoL_30fps_30sec_Part2_1280x720_1200_x264.yuv,1200,32.501335,0.966079,55.371058,20.42444926,72.78778321,3.4,3.4
LoL_30fps_30sec_Part2_1280x720_2000_x264.yuv,2000,33.19627,0.972301,64.840668,7.437469385,25.41720865,3.84,4
LoL_30fps_30sec_Part2_1280x720_4000_x264.yuv,4000,33.758728,0.976716,72.274125,1.973228427,6.322143027,4,4
LoL_30fps_30sec_Part2_1280x720_500_x264.yuv,500,30.613081,0.944604,32.675995,106.3471041,431.2053955,2.04,2
LoL_30fps_30sec_Part2_1280x720_600_x264.yuv,600,31.179106,0.951698,38.861465,70.48950751,273.6220644,2.52,2.52
LoL_30fps_30sec_Part2_1920x1080_1200_x264.yuv,1200,35.003838,0.97583,64.244731,37.56165531,129.215856,3.16,3.29
LoL_30fps_30sec_Part2_1920x1080_2000_x264.yuv,2000,37.049431,0.984464,75.312846,17.68581026,58.55249329,4.08,4.1
LoL_30fps_30sec_Part2_1920x1080_4000_x264.yuv,4000,40.454529,0.992632,87.928245,4.520993228,14.69874751,4.48,4.48
LoL_30fps_30sec_Part2_1920x1080_600_x264.yuv,600,31.372942,0.947635,40.234083,144.1641093,538.0822103,1.56,1.56
LoL_30fps_30sec_Part2_1920x1080_750_x264.yuv,750,32.045517,0.954537,44.795173,120.6316889,436.8940572,2,1.9
LoL_30fps_30sec_Part2_640x480_1200_x264.yuv,1200,30.289093,0.949083,44.956979,8.787957867,29.71141513,2.72,2.62
LoL_30fps_30sec_Part2_640x480_2000_x264.yuv,2000,30.473694,0.951994,50.047669,3.642555858,11.63198813,2.92,2.92
LoL_30fps_30sec_Part2_640x480_300_x264.yuv,300,29.06946,0.927413,20.290698,99.08301563,416.8623995,1.72,1.72
LoL_30fps_30sec_Part2_640x480_4000_x264.yuv,4000,30.598061,0.953914,53.509145,1.293791813,3.984500084,2.84,2.84
LoL_30fps_30sec_Part2_640x480_600_x264.yuv,600,29.841967,0.941645,34.059025,29.52575904,110.6970612,2.52,2.52
ProjectCar_30FPS_30Sec_Part2_1280x720_1200_x264.yuv,1200,32.674522,0.976223,60.00396,39.56511352,108.8658854,3.28,3.28
ProjectCar_30FPS_30Sec_Part2_1280x720_2000_x264.yuv,2000,33.760235,0.982395,68.91132,16.91697171,45.53933027,3.72,3.72
ProjectCar_30FPS_30Sec_Part2_1280x720_4000_x264.yuv,4000,34.770641,0.9871,76.878939,5.436318969,13.93386551,4.16,4
ProjectCar_30FPS_30Sec_Part2_1280x720_500_x264.yuv,500,30.165571,0.956012,40.517756,171.2473412,483.4194806,2.16,2.16
ProjectCar_30FPS_30Sec_Part2_1280x720_600_x264.yuv,600,30.879713,0.962588,45.755647,119.5981028,334.7887019,2.36,2.36
ProjectCar_30FPS_30Sec_Part2_1920x1080_1200_x264.yuv,1200,33.223221,0.974168,65.582734,63.97523539,162.8362975,2.72,2.72
ProjectCar_30FPS_30Sec_Part2_1920x1080_2000_x264.yuv,2000,35.099922,0.983126,75.925444,29.56005375,78.43992567,3.44,3.44
ProjectCar_30FPS_30Sec_Part2_1920x1080_4000_x264.yuv,4000,38.211376,0.991333,87.87938,9.850677012,26.22819638,4.16,4.16
ProjectCar_30FPS_30Sec_Part2_1920x1080_600_x264.yuv,600,30.088646,0.947817,46.932832,208.394732,551.925386,1.52,1.52
ProjectCar_30FPS_30Sec_Part2_1920x1080_750_x264.yuv,750,30.668333,0.95584,50.537305,167.3027977,439.6120069,1.96,1.96
ProjectCar_30FPS_30Sec_Part2_640x480_1200_x264.yuv,1200,30.894093,0.969583,49.484594,21.03732076,58.32972918,3.16,3.16
ProjectCar_30FPS_30Sec_Part2_640x480_2000_x264.yuv,2000,31.254467,0.972856,55.05167,9.356434789,24.94669832,3.52,3.52
ProjectCar_30FPS_30Sec_Part2_640x480_300_x264.yuv,300,28.929693,0.947626,26.815768,182.7277861,556.1929027,2.04,2
ProjectCar_30FPS_30Sec_Part2_640x480_4000_x264.yuv,4000,31.528845,0.975203,59.588496,3.204852026,8.15406443,3.52,3.52
ProjectCar_30FPS_30Sec_Part2_640x480_600_x264.yuv,600,30.113398,0.961797,39.197888,62.97074937,181.2633348,2.76,2.76
