File_Name;SESSION;SRC;HRC;MOS;SOS;NUM_SUBJ;SRC_Description;HRC_Description;;Subjects-->;1;2;3;4;5;6;10;11;12;13;14;15;16;18;19;20;21;23;24;25;26;27;29;30;31;32;33
Broadcast_001-Bsrc11A_1256K;Broadcast;Bsrc11A;1256K;4;0.733799385705343;27;"SRC taken from ""Tears"", RSRC A = Action movie";"HRC = ""H.264 coded at 1.256 Mbps, reduced resolution (824 x 464)""";; ;4;4;4;3;4;4;3;3;3;3;4;3;5;4;4;4;5;5;5;4;5;5;4;5;3;4;4
Broadcast_002-Bsrc11A_SRC;Broadcast;Bsrc11A;SRC;3.74074074074074;0.984205755246823;27;"SRC taken from ""Tears"", RSRC A = Action movie";"HRC = ""Original: converted to 720p 23.976 fps, H.264 encoded at 40Mbps""";; ;5;3;5;1;4;4;3;5;3;4;2;3;5;4;4;4;3;4;4;4;4;4;4;5;4;2;4
Broadcast_003-Bsrc11B_1732K;Broadcast;Bsrc11B;1732K;4.26923076923077;0.827414880586145;26;"SRC taken from ""Tears"", RSRC B = Detailed backdrop";"HRC = ""H.264 coded at 1.732 Mbps, reduced resolution (1024 x 576)""";; ;5;3;4;2;5;4;3;5;4;;5;4;4;5;5;3;5;4;4;5;5;4;5;5;4;4;5
Broadcast_004-Bsrc11B_2340K;Broadcast;Bsrc11B;2340K;4.55555555555556;0.640512615220349;27;"SRC taken from ""Tears"", RSRC B = Detailed backdrop";"HRC = ""H.264 coded at 2.34 Mbps, 720p resolution (1280 x 720)""";; ;4;3;5;4;5;5;4;5;4;3;4;5;5;5;5;4;5;4;5;5;5;5;4;5;5;5;5
Broadcast_005-Bsrc11B_0951K;Broadcast;Bsrc11B;0951K;3.32;0.802080627701064;25;"SRC taken from ""Tears"", RSRC B = Detailed backdrop";"HRC = ""H.264 coded at 951 Kbps, reduced resolution (696 x 392)""";; ;3;3;4;2;4;3;2;4;3;3;3;3;4;3;4;;3;4;5;;3;3;4;3;3;5;2
Broadcast_006-Bsrc11B_SRC;Broadcast;Bsrc11B;SRC;4.66666666666667;0.554700196225229;27;"SRC taken from ""Tears"", RSRC B = Detailed backdrop";"HRC = ""Original: converted to 720p 23.976 fps, H.264 encoded at 40Mbps""";; ;5;4;5;3;4;5;4;5;4;5;5;5;5;5;5;4;5;5;5;4;5;5;4;5;5;5;5
Broadcast_007-Bsrc11C_0512K;Broadcast;Bsrc11C;0512K;2.44444444444444;0.640512615220349;27;"SRC taken from ""Tears"", RSRC C = Group talking";"HRC = ""H.264 coded at 512 Kbps, reduced resolution (512 x 288)""";; ;2;3;3;2;3;2;2;3;2;2;3;3;3;2;2;3;3;4;1;2;2;2;2;3;3;2;2
Broadcast_008-Bsrc11A_1256K;Broadcast;Bsrc11A;1256K;2.96296296296296;0.854016820293798;27;"SRC taken from ""Tears"", RSRC A = Action movie";"HRC = ""H.264 coded at 1.256 Mbps, reduced resolution (824 x 464)""";; ;3;3;4;2;3;2;2;4;3;3;3;4;3;3;1;2;5;3;3;3;3;3;4;2;3;4;2
Broadcast_009-Bsrc11B_0512K;Broadcast;Bsrc11B;0512K;2.2962962962963;0.992851945536184;27;"SRC taken from ""Tears"", RSRC B = Detailed backdrop";"HRC = ""H.264 coded at 512 Kbps, reduced resolution (512 x 288)""";; ;4;3;3;2;4;1;1;2;2;2;2;2;2;2;1;2;3;4;1;3;2;4;3;1;3;1;2
